0,2,1,3,5,0,0,0,0,22
1,13,2,22,7,3,3,2,1,25
2,1,0,18,2,1,4,13,0,0
3,1,5,0,3,2,4,2,0,24
4,28,0,0,1,0,4,0,0,20
5,8,2,2,5,5,0,6,0,0
6,0,2,0,0,8,2,0,0,54
7,
8,0,0,8,9,7,0,0,38
9,27,2,0,10,9,4,11,0,38
10,7,1,29,5,2,0,1,6,42
11,4,0,17,10,1,0,1,7,43
12,0,0,5,9,9,0,14,0,8
13,1,3,0,6,2,2,11,0,17
14,2,0,0,4,6,4,2,0,39
15,0,0,0,6,7,0,5,0,57
16,8,0,0,7,0,1,1,0,0
17,7,3,1,8,8,4,6,0,0
18,7,0,21,9,3,0,0,0,14
19,2,4,0,5,3,3,4,0,0
20,2,0,0,1,2,1,0,0,10
21,2,1,0,3,0,1,0,0,0
22,2,2,0,2,4,0,0,0,0
23,1,0,0,0,4,0,13,2,0
24,30,5,9,11,3,0,3,0,0
25,0,0,5,5,4,8,1,8,45
26,2,3,25,3,0,6,0,0,11
27,0,0,6,6,11,3,0,3,25
28,13,5,4,4,4,10,0,0
29,1,2,7,8,4,0,0,0,12
30,2,5,7,7,11,0,0,0,3
31,0,5,18,2,2,2,2,0,7
32,1,0,0,3,8,5,13,7,37
33,2,5,26,3,9,0,14,0,32
34,7,0,4,1,0,2,13,0,0
35,0,4,0,3,1,2,0,0,43
36,4,2,9,6,3,0,0,0
37,8,4,4,3,0,9,0,42
38,0,0,22,1,1,3,10,0,16
39,2,0,0,5,1,0,13,0,0
40,2,0,5,2,3,7,5,0,39
41,20,0,2,11,0,0,1,0,5
42,
43,2,3,0,1,7,0,9,0,6
44,1,0,0,5,4,1,1,2,8
45,8,4,0,3,1,0,0,0,0
46,0,5,16,9,9,0,0,0,10
47,2,3,0,3,0,5,8,5,0
48,2,0,0,2,2,1,2,0,51
49,20,5,22,1,2,2,11,7,15
50,1,0,11,6,0,3,0,0,0
51,0,5,0,0,0,0,3,0,27
52,2,3,0,0,2,2,3,0,35
53,1,1,4,5,5,0,0,0,8
54,23,0,0,4,2,2,0,0,0
55,2,3,6,2,6,1,3,0,27
56,4,4,0,5,5,0,0,4,18
57,3,2,4,8,4,1,2,0,0
58,8,2,1,10,1,1,9,0,6
59,7,5,0,0,0,1,1,0,0
60,2,0,7,3,6,3,0,0,28
61,2,0,0,3,10,0,2,0,33
62,2,0,5,8,1,1,0,8,
63,3,1,0,1,0,0,0,0,0
64,0,0,4,1,2,1,2,0,0
65,0,4,29,6,2,0,1,0,0
66,4,1,0,0,4,0,0,0,0
67,0,2,5,4,3,1,1,0,34
68,2,1,11,4,0,3,0,0,0
69,13,2,10,5,2,7,1,0,0
70,3,1,1,3,7,3,0,0,0
71,1,2,0,0,0,1,6,4,
72,1,2,17,5,0,0,3,0,0
73,13,0,15,0,7,2,11,0,2
74,1,5,0,1,4,4,0,0,18
75,1,0,2,0,0,0,4,42
76,2,2,18,2,0,1,0,0,3
77,21,1,2,9,1,0,1,0,44
78,2,5,0,10,1,3,3,0,3
79,2,5,7,4,6,8,1,4,46
80,2,0,7,5,1,2,0,0,0
81,1,3,0,0,0,1,0,0,9
82,2,4,10,9,0,5,0,0,0
83,1,5,21,5,0,5,0,0
84,20,2,5,0,3,3,5,6,0
85,1,5,0,0,6,0,0,0,42
86,22,3,17,2,7,0,0,0,41
87,8,0,6,6,3,8,0,0,49
88,2,3,3,7,6,0,0,0,31
89,19,0,9,9,10,0,1,0,6
90,22,4,0,11,1,0,0,0,0
91,0,3,0,9,8,0,0,0,0
92,2,0,3,6,1,1,3,0,42
93,2,2,17,4,4,0,3,0,0
94,3,5,0,4,2,3,6,2,31
95,2,5,0,0,4,0,1,1,0
96,19,1,9,3,7,1,1,0,22
97,3,2,0,8,2,2,3,0,0
98,8,4,0,4,4,1,8,2,0
99,7,0,14,5,7,5,0,0,37
100,0,0,0,6,11,0,0,0,10
101,21,3,13,9,5,0,0,0,42
102,25,4,25,3,0,0,0,13
103,21,0,0,4,11,3,0,0,42
104,0,2,1,7,0,8,0,7,0
105,2,2,4,0,5,0,0,0,31
106,25,0,0,0,0,0,9,5,45
107,23,1,0,12,2,0,15,0,57
108,27,1,0,4,9,0,3,1,14
109,3,0,4,8,2,3,0,0,7
110,31,0,0,11,10,0,6,7,52
111,0,3,5,0,0,3,1,0
112,1,2,0,4,0,1,1,0,4
113,1,0,6,1,1,1,1,0,15
114,1,1,22,1,2,1,1,0,36
115,1,0,0,10,2,1,1,0,0
116,8,0,27,12,9,0,0,0,0
117,19,4,0,2,1,2,0,7,0
118,20,0,2,3,2,3,10,0,32
119,2,0,27,12,9,0,0,0,0
120,2,0,3,1,0,4,0,41
121,20,3,0,2,1,0,0,0,0
122,2,0,0,1,8,0,1,0,34
123,27,0,12,11,9,1,0,0,42
124,0,0,0,2,4,1,1,0,4
125,27,1,0,4,9,2,1,0,42
126,0,0,4,2,0,4,0,0
127,1,5,13,0,1,3,0,0,0
128,0,4,0,4,1,0,0,0,0
129,3,3,0,1,6,0,0,0,
130,0,1,3,2,4,2,0,0,0
131,19,3,0,7,7,2,1,0,18
132,22,3,0,7,6,0,0,0,0
133,8,1,27,12,9,0,0,0,0
134,30,3,0,5,2,6,0,0,0
135,19,3,7,3,4,1,1,0,0
136,0,2,0,9,10,0,0,0,0
137,1,0,7,4,0,0,1,0,0
138,2,2,2,1,2,3,1,0,51
139,1,0,0,8,5,0,9,0,0
140,1,5,0,1,4,0,10,0,0
141,1,2,0,2,0,4,1,0,0
142,21,0,9,7,0,2,0,0,0
143,2,0,7,7,4,0,0,1,20
144,4,0,0,3,2,8,0,0,6
145,1,0,8,3,0,0,5,46
146,1,0,23,3,3,4,11,0,20
147,2,2,0,5,4,1,0,0,37
148,8,0,11,7,0,1,1,0,12
149,2,0,0,1,2,0,6,0,0
150,13,4,0,1,8,4,1,0,4
151,2,3,17,2,4,3,0,0,53
152,2,0,11,5,1,3,1,0,29
153,2,3,0,6,8,0,0,3,10
154,2,0,9,3,10,1,0,7,0
155,2,5,0,5,5,0,0,0,0
156,0,5,14,6,0,0,0,0,0
157,0,3,0,3,3,0,13,0,0
158,1,2,5,1,4,1,0,4,0
159,8,0,9,0,7,1,2,0,0
160,2,1,3,6,0,2,9,3,0
161,2,4,11,8,1,2,3,0,44
162,19,0,0,6,6,7,7,0,0
163,1,0,0,4,0,1,0,0,0
164,3,3,1,10,1,1,10,0,28
165,22,2,0,6,10,0,2,0,0
166,0,3,14,4,4,4,10,0,0
167,0,0,0,5,5,0,0,0,0
168,1,3,2,1,10,1,0,0,24
169,2,3,0,11,1,0,1,3,
170,19,1,10,3,0,6,1,0,33
